feature,module,mean_abs_shap
sig_m2_repo_rate_spread_z,M2,4.801586719152032
m2_repo_rate_spread_z,M2,4.698940235751577
sig_m2_repo_volume_z,M2,4.154366832956156
m2_repo_volume_z,M2,3.009283629587491
sig_m1_reserve_spread_z_obs,M1,2.4933976802580746
sig_m5_federal_drain_z_obs,M5,2.485295024955215
m1_reserve_spread_z_obs,M1,2.0333943924433355
m5_federal_drain_z_obs,M5,1.947545227880201
m1_ruonia_spread_z,M1,1.6113229229514356
sig_m1_ruonia_spread_z,M1,1.4410168807665822
m5_budget_drain_flag,M5,1.1867446838908966
m1_end_of_period_flag,M1,1.1815306987754353
sig_m3_avg_yield_z,M3,1.1775540059709546
sig_m5_structural_drain_z,M5,0.9891244716976929
sig_m2_repo_utilization_z,M2,0.9430522261583251
m3_avg_yield_z,M3,0.9317731753427119
m5_structural_drain_z,M5,0.6635373381899111
m2_repo_utilization_z,M2,0.45132789309910293
sig_m3_bid_cover_z,M3,0.35940988642594845
m2_repo_high_utilization_flag,M2,0.16236055401747979
m3_bid_cover_z,M3,0.16023514589803922
m3_perespros_flag,M3,0.056288734401093284
m3_nedospros_flag,M3,0.01807080613005652
